"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57627320";"01";"5753003";;;"57626";"GRADUAÇÃO";"Campus Central";"Sala 6";"2018";"2";"2018-07-30";"2018-12-15";"24M34 (30/07/2018 - 15/12/2018)";"32";"50";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627321";"02";"5756362";;;"57626";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-15";"24M12 (30/07/2018 - 15/12/2018)";"152";"101";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627322";"03";"5756362";;;"57626";"GRADUAÇÃO";"Campus Central";"Sala 3";"2018";"2";"2018-07-30";"2018-12-15";"24T56 (30/07/2018 - 15/12/2018)";"113";"110";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627322";"03";"5753003";;;"57626";"GRADUAÇÃO";"Campus Central";"Sala 3";"2018";"2";"2018-07-30";"2018-12-15";"24T56 (30/07/2018 - 15/12/2018)";"113";"110";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627323";"04";"5760354";;;"57626";"GRADUAÇÃO";"Campus Central";"Sala 6";"2018";"2";"2018-07-30";"2018-12-15";"35N34 (30/07/2018 - 15/12/2018)";"48";"51";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627324";"01";"5753844";;;"57625";"GRADUAÇÃO";"Campus Central";"Aud. A";"2018";"2";"2018-07-30";"2018-12-15";"35M56 (30/07/2018 - 15/12/2018)";"70";"70";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627324";"01";"5760354";;;"57625";"GRADUAÇÃO";"Campus Central";"Aud. A";"2018";"2";"2018-07-30";"2018-12-15";"35M56 (30/07/2018 - 15/12/2018)";"70";"70";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627325";"02";"5760354";;;"57625";"GRADUAÇÃO";"Campus Central";"Sala 1";"2018";"2";"2018-07-30";"2018-12-15";"35M12 (30/07/2018 - 15/12/2018)";"56";"60";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627325";"02";"5753844";;;"57625";"GRADUAÇÃO";"Campus Central";"Sala 1";"2018";"2";"2018-07-30";"2018-12-15";"35M12 (30/07/2018 - 15/12/2018)";"56";"60";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627326";"03";"5753844";;;"57625";"GRADUAÇÃO";"Campus Central";"Aud. F";"2018";"2";"2018-07-30";"2018-12-22";"46N34 (30/07/2018 - 22/12/2018)";"61";"61";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627326";"03";"5760354";;;"57625";"GRADUAÇÃO";"Campus Central";"Aud. F";"2018";"2";"2018-07-30";"2018-12-22";"46N34 (30/07/2018 - 22/12/2018)";"61";"61";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627327";"01";"5757440";;;"57594";"GRADUAÇÃO";"Campus Central";"Sala 2";"2018";"2";"2018-07-30";"2018-12-15";"35M34 (30/07/2018 - 15/12/2018)";"34";"50";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627328";"02";"5752719";;;"57594";"GRADUAÇÃO";"Campus Central";"Sala 3";"2018";"2";"2018-07-30";"2018-12-15";"35M56 (30/07/2018 - 15/12/2018)";"46";"50";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627329";"03";"5757427";;;"57594";"GRADUAÇÃO";"Campus Central";"Sala 3";"2018";"2";"2018-07-30";"2018-12-15";"24N12 (30/07/2018 - 15/12/2018)";"65";"70";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627330";"04";"5757427";;;"57594";"GRADUAÇÃO";"Campus Central";"Sala 7";"2018";"2";"2018-07-30";"2018-12-15";"24N34 (30/07/2018 - 15/12/2018)";"14";"30";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627332";"02B";"5756302";;;"2050152";"GRADUAÇÃO";"Campus Central";"Anfiteatro DBF";"2018";"2";"2018-07-30";"2018-12-22";"5T12 (30/07/2018 - 22/12/2018)";"15";"30";"REGULAR";"false";;"false";"57627333";;"ABERTA";;"Presencial"
"57627332";"02B";"5759702";;;"2050152";"GRADUAÇÃO";"Campus Central";"Anfiteatro DBF";"2018";"2";"2018-07-30";"2018-12-22";"5T12 (30/07/2018 - 22/12/2018)";"15";"30";"REGULAR";"false";;"false";"57627333";;"ABERTA";;"Presencial"
"57627332";"02B";"5759401";;;"2050152";"GRADUAÇÃO";"Campus Central";"Anfiteatro DBF";"2018";"2";"2018-07-30";"2018-12-22";"5T12 (30/07/2018 - 22/12/2018)";"15";"30";"REGULAR";"false";;"false";"57627333";;"ABERTA";;"Presencial"
"57627334";"02A";"5759401";;;"2050152";"GRADUAÇÃO";"Campus Central";"Anfiteatro DBF";"2018";"2";"2018-07-30";"2018-12-22";"5T12 (30/07/2018 - 22/12/2018)";"24";"30";"REGULAR";"false";;"false";"57627333";;"ABERTA";;"Presencial"
"57627334";"02A";"5756302";;;"2050152";"GRADUAÇÃO";"Campus Central";"Anfiteatro DBF";"2018";"2";"2018-07-30";"2018-12-22";"5T12 (30/07/2018 - 22/12/2018)";"24";"30";"REGULAR";"false";;"false";"57627333";;"ABERTA";;"Presencial"
"57627334";"02A";"5759702";;;"2050152";"GRADUAÇÃO";"Campus Central";"Anfiteatro DBF";"2018";"2";"2018-07-30";"2018-12-22";"5T12 (30/07/2018 - 22/12/2018)";"24";"30";"REGULAR";"false";;"false";"57627333";;"ABERTA";;"Presencial"
"57627336";"02B";"5759702";;;"2050154";"GRADUAÇÃO";"Campus Central";"Sala 2 DBF";"2018";"2";"2018-07-30";"2018-12-22";"5T34 (30/07/2018 - 22/12/2018)";"11";"30";"REGULAR";"false";;"false";"57627337";;"ABERTA";;"Presencial"
"57627336";"02B";"5751875";;;"2050154";"GRADUAÇÃO";"Campus Central";"Sala 2 DBF";"2018";"2";"2018-07-30";"2018-12-22";"5T34 (30/07/2018 - 22/12/2018)";"11";"30";"REGULAR";"false";;"false";"57627337";;"ABERTA";;"Presencial"
"57627338";"02A";"5751875";;;"2050154";"GRADUAÇÃO";"Campus Central";"Sala 2 DBF";"2018";"2";"2018-07-30";"2018-12-22";"5T34 (30/07/2018 - 22/12/2018)";"32";"30";"REGULAR";"false";;"false";"57627337";;"ABERTA";;"Presencial"
